site_id,treatment,replicate,measurement
site_1,control,1,55.47
site_1,control,2,58.46
site_1,control,3,62.42
site_1,control,4,42.69
site_1,treatment,5,56.06
site_1,treatment,7,40.59
site_1,treatment,8,39.79
site_1,control,9,21.03
site_1,treatment,10,50.43
site_2,control,1,52.47
site_2,treatment,2,45.67
site_2,control,3,59.1
site_2,treatment,4,41.28
site_2,control,5,33.58
site_2,control,6,55.19
site_2,treatment,7,40.26
site_2,treatment,8,67.33
site_2,treatment,9,44.82
site_2,treatment,10,57.87
site_3,control,1,53.86
site_3,control,3,68.91
site_3,control,4,57.71
site_3,control,5,51.08
site_3,treatment,6,53.32
site_3,control,7,58.15
site_3,control,8,51.08
site_3,control,9,14.08
site_3,control,10,53.42
site_4,treatment,1,45.59
site_4,treatment,2,52.22
site_4,treatment,3,56.98
site_4,treatment,4,66.8
site_4,control,5,41.27
site_4,treatment,6,65.63
site_4,control,7,54.03
site_4,treatment,9,61.05
site_4,treatment,10,58.65
site_5,control,1,37.48
site_5,control,2,48.92
site_5,treatment,3,57.48
site_5,treatment,4,38.56
site_5,treatment,5,43.49
site_5,treatment,6,56.97
site_5,treatment,7,59.22
site_5,treatment,8,55.57
site_5,treatment,9,39.37
site_5,control,10,36.8
site_6,treatment,1,68.15
site_6,control,2,53.1
site_6,treatment,3,51.06
site_6,treatment,4,48.55
site_6,treatment,5,35.67
site_6,treatment,6,57.34
site_6,control,7,47.39
site_6,treatment,8,47.81
site_6,control,9,61.2
site_6,control,10,59.86
